ESTRAZIONE;MORTI;NATI;SALDO_NATURALE
202501;422;191;-231
202412;4385;2222;-2163
202411;4024;2034;-1990
202410;3633;1861;-1772
202409;3255;1670;-1585
202408;2928;1490;-1438
202407;2523;1316;-1207
202406;2162;1119;-1043
202405;1847;936;-911
202404;1523;729;-794
202403;1152;564;-588
202402;817;368;-449
202401;448;195;-253
202312;4261;2250;-2011
202311;3822;2073;-1749
202310;3462;1869;-1593
202309;3122;1667;-1455
202308;2817;1482;-1335
202307;2478;1252;-1226
202306;2129;1072;-1057
202305;1816;893;-923
202304;1499;715;-784
202303;1155;538;-617
202302;809;381;-428
202301;435;188;-247
202212;4889;2306;-2583
202211;4406;2137;-2269
202210;4002;1923;-2079
202209;3629;1731;-1898
202208;3302;1542;-1760
202207;2889;1329;-1560
202206;2417;1063;-1354
202205;2087;872;-1215
202204;1696;690;-1006
202203;1335;549;-786
202202;901;333;-568
202201;486;146;-340
202112;4430;2396;-2034
202111;3992;2203;-1789
202110;3650;2006;-1644
202109;3285;1745;-1540
202108;2923;1521;-1402
202107;2563;1337;-1226
202106;2184;1108;-1076
202105;1916;917;-999
202104;1566;735;-831
202103;1159;552;-607
202102;789;363;-426
202101;438;194;-244
202012;4880;2375;-2505
202011;4419;2202;-2217
202010;3832;2026;-1806
202009;3452;1809;-1643
202008;3098;1576;-1522
202007;2701;1385;-1316
202006;2334;1132;-1202
202005;2003;954;-1049
202004;1557;736;-821
202003;1104;569;-535
202002;746;405;-341
202001;402;188;-214
201912;4395;2464;-1931
201911;4075;2254;-1821
201910;3712;2035;-1677
201909;3365;1740;-1625
201908;3016;1579;-1437
201907;2678;1404;-1274
201906;2282;1164;-1118
201905;1959;990;-969
201904;1598;751;-847
201903;1274;596;-678
201902;881;413;-468
201901;447;224;-223
201812;4226;2625;-1601
201811;3927;2431;-1496
201810;3685;2252;-1433
201809;3173;1937;-1236
201808;2836;1721;-1115
201807;2479;1492;-987
201806;2138;1263;-875
201805;1840;1047;-793
201804;1534;829;-705
201803;1197;633;-564
201802;801;431;-370
201801;442;225;-217
201712;4644;2729;-1915
201711;4198;2470;-1728
201710;3805;2236;-1569
201709;3446;2003;-1443
201708;3153;1779;-1374
201707;2773;1522;-1251
201706;2454;1280;-1174
201705;2114;1075;-1039
201704;1757;835;-922
201703;1443;679;-764
201702;1042;441;-601
201701;532;274;-258
201612;4528;2860;-1668
201610;3716;2412;-1304
201609;3354;2187;-1167
201608;2980;1894;-1086
201607;2642;1727;-915
201606;2255;1466;-789
201605;1940;1269;-671
201604;1570;1009;-561
201603;1181;840;-341
201602;778;580;-198
201601;381;252;-129
201512;4764;2706;-2058
201511;4375;2471;-1904
201510;3995;2263;-1732
201509;3643;1971;-1672
201501;465;270;-195
201412;4298;3017;-1281
201411;3948;2815;-1133
201410;3582;2557;-1025
201409;3226;2276;-950
201408;2878;2014;-864
201407;2583;1780;-803
201406;2291;1506;-785
201405;2010;1309;-701
201404;1613;1044;-569
201403;1209;809;-400
201402;826;571;-255
201401;399;329;-70
201312;4233;2838;-1395
201311;3876;2688;-1188
201310;3537;2449;-1088
201309;3302;2090;-1212
201308;2873;1877;-996
201307;2445;1655;-790
201306;2177;1464;-713
201305;1820;1255;-565
201304;1478;1005;-473
201303;1187;781;-406
201302;789;525;-264
201301;413;297;-116
201212;4537;2913;-1624
201211;4219;2694;-1525
201210;3864;2483;-1381
201209;3524;2186;-1338
201208;3154;1869;-1285
201207;2782;1656;-1126
201206;2426;1509;-917
201205;2115;1253;-862
201204;1735;968;-767
201203;4486;2967;-1519
201202;979;511;-468
201201;4952;3131;-1821
